Date,Narration,ChqRef,Withdrawal,Deposit,Balance
07/07/2026,UPI/CR/BharatPe Daily Settlement/Surat Kirana,UPI88007,,4940.00,90010.00
08/07/2026,UPI/CR/BharatPe Daily Settlement/Surat Kirana,UPI88008,,5060.00,95070.00
09/07/2026,UPI/CR/BharatPe Daily Settlement/Surat Kirana,UPI88009,,5180.00,100250.00
10/07/2026,IMPS/WHOLESALE GRAIN DISTRIBUTORS/SUPPLIER,IMPS002,26000.00,,74250.00
12/07/2026,NACH/BAJAJ FINANCE/BUSINESS LOAN EMI,NACH002,8500.00,,65750.00
15/07/2026,UPI/CR/Paytm QR Collection/Customer,UPI88115,,5250.00,71000.00
16/07/2026,UPI/CR/Paytm QR Collection/Customer,UPI88116,,5340.00,76340.00
17/07/2026,UPI/CR/Paytm QR Collection/Customer,UPI88117,,5430.00,81770.00
18/07/2026,UPI/CR/Paytm QR Collection/Customer,UPI88118,,5520.00,87290.00
19/07/2026,UPI/CR/Paytm QR Collection/Customer,UPI88119,,5610.00,92900.00
20/07/2026,UPI/CR/Paytm QR Collection/Customer,UPI88120,,5700.00,98600.00
21/07/2026,UPI/CR/Paytm QR Collection/Customer,UPI88121,,5790.00,104390.00
22/07/2026,UPI/CR/Paytm QR Collection/Customer,UPI88122,,5880.00,110270.00
23/07/2026,UPI/CR/Paytm QR Collection/Customer,UPI88123,,5970.00,116240.00
25/07/2026,NEFT/ITC LIMITED WHOLESALE/PROVISION,NEFT003,28500.00,,87740.00
01/08/2026,UPI/CR/PhonePe QR Settlement/Surat Kirana,UPI99001,,4410.00,92150.00
02/08/2026,UPI/CR/PhonePe QR Settlement/Surat Kirana,UPI99002,,4520.00,96670.00
03/08/2026,UPI/CR/PhonePe QR Settlement/Surat Kirana,UPI99003,,4630.00,101300.00
04/08/2026,UPI/CR/PhonePe QR Settlement/Surat Kirana,UPI99004,,4740.00,106040.00
05/08/2026,UPI/CR/PhonePe QR Settlement/Surat Kirana,UPI99005,,4850.00,110890.00
06/08/2026,UPI/CR/PhonePe QR Settlement/Surat Kirana,UPI99006,,4960.00,115850.00
07/08/2026,UPI/CR/PhonePe QR Settlement/Surat Kirana,UPI99007,,5070.00,120920.00
08/08/2026,UPI/CR/PhonePe QR Settlement/Surat Kirana,UPI99008,,5180.00,126100.00
09/08/2026,UPI/CR/PhonePe QR Settlement/Surat Kirana,UPI99009,,5290.00,131390.00
10/08/2026,IMPS/GUJARAT DAIRY COOPERATIVE/MILK,IMPS003,19500.00,,111890.00
12/08/2026,NACH/BAJAJ FINANCE/BUSINESS LOAN EMI,NACH003,8500.00,,103390.00
15/08/2026,UPI/CR/Paytm Merchant QR/Customer,UPI99115,,5450.00,108840.00
16/08/2026,UPI/CR/Paytm Merchant QR/Customer,UPI99116,,5520.00,114360.00
17/08/2026,UPI/CR/Paytm Merchant QR/Customer,UPI99117,,5590.00,119950.00
18/08/2026,UPI/CR/Paytm Merchant QR/Customer,UPI99118,,5660.00,125610.00
19/08/2026,UPI/CR/Paytm Merchant QR/Customer,UPI99119,,5730.00,131340.00
20/08/2026,UPI/CR/Paytm Merchant QR/Customer,UPI99120,,5800.00,137140.00
21/08/2026,UPI/CR/Paytm Merchant QR/Customer,UPI99121,,5870.00,143010.00
22/08/2026,UPI/CR/Paytm Merchant QR/Customer,UPI99122,,5940.00,148950.00
23/08/2026,UPI/CR/Paytm Merchant QR/Customer,UPI99123,,6010.00,154960.00
24/08/2026,UPI/CR/Paytm Merchant QR/Customer,UPI99124,,6080.00,161040.00
01/09/2026,UPI/CR/BharatPe QR Settlement,UPI10001,,4680.00,165720.00
02/09/2026,UPI/CR/BharatPe QR Settlement,UPI10002,,4760.00,170480.00
03/09/2026,UPI/CR/BharatPe QR Settlement,UPI10003,,4840.00,175320.00
04/09/2026,UPI/CR/BharatPe QR Settlement,UPI10004,,4920.00,180240.00
05/09/2026,UPI/CR/BharatPe QR Settlement,UPI10005,,5000.00,185240.00
06/09/2026,UPI/CR/BharatPe QR Settlement,UPI10006,,5080.00,190320.00
07/09/2026,UPI/CR/BharatPe QR Settlement,UPI10007,,5160.00,195480.00
